Epsilon,Silhouette Score,Calinski-Harabasz Score,Rand Index,add_dp,data
5,0.4004032619924483,246.0823420744047,0.7800528301034356,0,seeds
5,0.4010197436011245,247.74425732258413,0.7749889998782965,0,seeds
5,0.4010197436011245,247.74425732258408,0.7749889998782965,0,seeds
5,0.4004032619924483,246.08234207440472,0.7800528301034356,0,seeds
5,0.45497260946524115,233.38872645574122,0.6162536433099591,0,iris
5,0.4581990642309604,229.2921090454045,0.6061523138216365,0,iris
5,0.27920192416086215,69.02111904622976,0.815804123000082,0,wine
5,0.28120603777361264,69.72382182365722,0.9117523954659142,0,wine
5,0.4130852602641176,748.4175087193845,0.40050789291430067,0,Raisin
5,0.43310940472782133,755.1220383729429,0.3154583057922809,0,Raisin
5,0.4130852602641176,748.4175087193845,0.40050789291430067,0,Raisin
5,0.43638176888976754,758.3760995157468,0.30553869293874797,0,Raisin
